"workerid","language","enjoyment","gender","age","comments","asses","education"
0,"english",1,"Male",23,"","No",2
1,"English",2,"Male",34,"interesting hit, thanks!","Yes",3
2,"English",2,"Male",25,"","Yes",0
3,"English",1,"Female",23,"","Yes",3
4,"English",2,"Male",30,"","Yes",2
5,"English",2,"Female",27,"","Yes",2
6,"English",0,"Male",28,"Hi, answering the questions was a very difficult task as I found the information to be very in depth and confusing. The answers were very confusing as well. This HIT took me much longer than 12 minutes and I&quotechard like to know if the questions were designed to be trick questions or not. If that&quotechars not possible than I completely understand, thank you have a great day!","Yes",1
7,"English",0,"Female",33,"There was a lot of confusing articles to read. I didn&quotechart know whether I agreed with the term because it wasn&quotechart always something I was familiar with. I guess I didn&quotechart quite understand what you were after, but I did my best to figure out whether something my have inherently caused the particular thing or person to have a characteristic.","Confused",1
8,"English",1,"Female",29,"","Yes",2
9,"English",1,"Male",26,"None","Yes",3
10,"english",1,"Male",24,"","Yes",1
11,"English",1,"Male",29,"","Yes",3
12,"english",1,"Male",34,"","Yes",3
13,"english",1,"Female",30,"","Yes",3
14,"English",1,"Female",32,"The grammar made some of the passages difficult to understand.","Yes",4
15,"English",1,"Male",42,"Thank You, I did my best.","Yes",1
16,"English",0,"Male",29,"","Yes",2
17,"English",1,"Male",42,"","Confused",1
18,"English",1,"Male",30,NA,"Yes",3
19,"English",2,"Male",27,NA,"Yes",3
