"workerid","language","enjoyment","gender","age","comments","asses","education"
0,"English",2,"Male",34,"interesting study, thanks!","Yes",3
1,"english",1,"Female",44,"","Yes",2
2,"English",0,"Male",37,"","Yes",3
3,"english",0,"Male",29,"Long for the pay unless you don&quotechart read everything. ","Yes",3
4,"English",1,"Male",29,"","Yes",2
5,"english",2,"Male",32,"","Yes",3
6,"English",1,"Male",38,"N.A.","Yes",3
7,"English",1,"Female",26,"","Yes",2
8,"English",1,"Female",33,"","Yes",3
9,"english",2,"Male",25,"","Yes",1
10,"American English",1,"Male",34,"","Yes",1
11,"english",2,"Female",33,"","Yes",3
12,"English",2,"Male",37,"N/A","Yes",4
13,"english",1,"Male",25,"","Yes",1
14,"English",0,"Male",26,"The dialogue was sort of hard to follow.","Yes",3
15,"English",1,"Male",30,"","Yes",3
16,"English",1,"Male",44,"",NA,2
17,"english",1,"Male",32,"none","Yes",3
