workerid,trial_type,question,focus,verb phrase,verb,noun phrase,entire sentence,tgrep id,right_side
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",1,know that,know,technical people,and technical people know that.,9996:8,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.04,are crazy,are,people,people are crazy.,1415:4,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.53,aren&quotechart none too shallow these days anyway,are,interest rates,and interest rates aren&quotechart none too shallow these days anyway.,113118:8,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.12,seem  to be always in the mood,seem,dogs,"but, dogs seem  to be always in the mood.",61455:8,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.85,are notorious,are,school buses,"i mean, school buses are notorious.",8185:16,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.06,are so messy,are,rollers,uh. rollers are so messy.,142815:9,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.96,don&quotechart tend  to knock,do,people,"people don&quotechart tend  to knock,",175:4,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.01,cost a lot more,cost,things,"well, things cost a lot more.",176:9,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.03,"use fed ex, all the time",use,people,"and nowadays people use fed ex, all the time.",75236:9,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.84,don&quotechart require mechanics,do,diesels,"diesels don&quotechart require mechanics,",57573:4,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.95,are good all the time,are,cats,but cats are good all the time.,171:6,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.96,don&quotechart pay for groceries and stuff,do,loans,and loans don&quotechart pay for groceries and stuff.,5958:6,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.01,help  create that,help,lawyers,"well, lawyers help  create that.",27281:9,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.95,say that,say,people,"i mean people say that,",158267:12,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.78,are trapped  economically,are,people,"but, of course, people are trapped  economically",24791:16,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.95,are kind of a problem,are,winters,i mean winters are kind of a problem,67262:12,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.01,are okay,are,blues,"uh, uh, blues are okay.",148447:14,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.99,are real high maintenances,are,dogs,"well, dogs are real high maintenances,",59934:9,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.96,are darling,are,rabbits,"well, rabbits are darling.",149639:9,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.52,aren&quotechart parents any more,are,parents,parents aren&quotechart parents any more.,36123:4,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.82,"come down  to supervise or, whatever",come,parents,"and, uh, you know, parents come down  to supervise or, whatever.",97451:23,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.51,don&quotechart stay afloat that long,do,companies,"especially in the kind of engineering job  i&quotecharm in , you know, companies don&quotechart stay afloat that long,",1679:53,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.02,are a large volume of annual trash,are,phone books,and phone books are a large volume of annual trash.,16679:8,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.98,have  to be convinced  of that,have,men,but men have  to be convinced  of that.,28363:6,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.04,are probably the most fickle people in the world,are,football fans,"uh, football fans are probably the most fickle people in the world.",137655:11,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.94,want all of that,want,people,"but, uh people want all of that",166244:11,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.47,are crippled,are,husbands,"that way husbands are crippled,",9738:9,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.24,are just as much of a blessing inside these material things,are,kids,but kids are just as much of a blessing inside these material things,47743:6,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.04,do happen severely a few times a year,do,things,"and things do happen severely a few times a year,",139264:6,NP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.94,are really concerned,are,people,"but, people are really concerned,",11134:8,NP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.05,are real high maintenances,are,dogs,"well, dogs are real high maintenances,",59934:9,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.96,don&quotechart require mechanics,do,diesels,"diesels don&quotechart require mechanics,",57573:4,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.94,do happen severely a few times a year,do,things,"and things do happen severely a few times a year,",139264:6,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.04,are kind of a problem,are,winters,i mean winters are kind of a problem,67262:12,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.95,are crippled,are,husbands,"that way husbands are crippled,",9738:9,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.96,are so messy,are,rollers,uh. rollers are so messy.,142815:9,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.92,don&quotechart tend  to knock,do,people,"people don&quotechart tend  to knock,",175:4,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.04,are a large volume of annual trash,are,phone books,and phone books are a large volume of annual trash.,16679:8,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.92,are good all the time,are,cats,but cats are good all the time.,171:6,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.04,don&quotechart stay afloat that long,do,companies,"especially in the kind of engineering job  i&quotecharm in , you know, companies don&quotechart stay afloat that long,",1679:53,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.06,know that,know,technical people,and technical people know that.,9996:8,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.93,are really concerned,are,people,"but, people are really concerned,",11134:8,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.94,aren&quotechart none too shallow these days anyway,are,interest rates,and interest rates aren&quotechart none too shallow these days anyway.,113118:8,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.12,are probably the most fickle people in the world,are,football fans,"uh, football fans are probably the most fickle people in the world.",137655:11,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.89,help  create that,help,lawyers,"well, lawyers help  create that.",27281:9,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.06,are okay,are,blues,"uh, uh, blues are okay.",148447:14,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.04,aren&quotechart parents any more,are,parents,parents aren&quotechart parents any more.,36123:4,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.09,seem  to be always in the mood,seem,dogs,"but, dogs seem  to be always in the mood.",61455:8,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.13,are notorious,are,school buses,"i mean, school buses are notorious.",8185:16,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.87,don&quotechart pay for groceries and stuff,do,loans,and loans don&quotechart pay for groceries and stuff.,5958:6,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.09,"come down  to supervise or, whatever",come,parents,"and, uh, you know, parents come down  to supervise or, whatever.",97451:23,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.9,"use fed ex, all the time",use,people,"and nowadays people use fed ex, all the time.",75236:9,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.1,are darling,are,rabbits,"well, rabbits are darling.",149639:9,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.94,cost a lot more,cost,things,"well, things cost a lot more.",176:9,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.14,want all of that,want,people,"but, uh people want all of that",166244:11,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.04,have  to be convinced  of that,have,men,but men have  to be convinced  of that.,28363:6,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.07,are trapped  economically,are,people,"but, of course, people are trapped  economically",24791:16,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.03,are just as much of a blessing inside these material things,are,kids,but kids are just as much of a blessing inside these material things,47743:6,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.93,are crazy,are,people,people are crazy.,1415:4,VP
1,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.07,say that,say,people,"i mean people say that,",158267:12,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.2,are notorious,are,school buses,"i mean, school buses are notorious.",8185:16,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.12,are so messy,are,rollers,uh. rollers are so messy.,142815:9,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.11,are okay,are,blues,"uh, uh, blues are okay.",148447:14,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.84,aren&quotechart none too shallow these days anyway,are,interest rates,and interest rates aren&quotechart none too shallow these days anyway.,113118:8,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.98,"use fed ex, all the time",use,people,"and nowadays people use fed ex, all the time.",75236:9,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.08,"come down  to supervise or, whatever",come,parents,"and, uh, you know, parents come down  to supervise or, whatever.",97451:23,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.1,are probably the most fickle people in the world,are,football fans,"uh, football fans are probably the most fickle people in the world.",137655:11,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.08,are good all the time,are,cats,but cats are good all the time.,171:6,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.08,seem  to be always in the mood,seem,dogs,"but, dogs seem  to be always in the mood.",61455:8,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.09,don&quotechart pay for groceries and stuff,do,loans,and loans don&quotechart pay for groceries and stuff.,5958:6,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.08,are a large volume of annual trash,are,phone books,and phone books are a large volume of annual trash.,16679:8,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.86,are real high maintenances,are,dogs,"well, dogs are real high maintenances,",59934:9,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.91,don&quotechart tend  to knock,do,people,"people don&quotechart tend  to knock,",175:4,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.85,are really concerned,are,people,"but, people are really concerned,",11134:8,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.05,aren&quotechart parents any more,are,parents,parents aren&quotechart parents any more.,36123:4,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.88,have  to be convinced  of that,have,men,but men have  to be convinced  of that.,28363:6,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.85,want all of that,want,people,"but, uh people want all of that",166244:11,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.88,cost a lot more,cost,things,"well, things cost a lot more.",176:9,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.17,are crippled,are,husbands,"that way husbands are crippled,",9738:9,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.14,are darling,are,rabbits,"well, rabbits are darling.",149639:9,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.83,are trapped  economically,are,people,"but, of course, people are trapped  economically",24791:16,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.17,say that,say,people,"i mean people say that,",158267:12,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.9,do happen severely a few times a year,do,things,"and things do happen severely a few times a year,",139264:6,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.1,are crazy,are,people,people are crazy.,1415:4,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.14,don&quotechart stay afloat that long,do,companies,"especially in the kind of engineering job  i&quotecharm in , you know, companies don&quotechart stay afloat that long,",1679:53,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.13,are kind of a problem,are,winters,i mean winters are kind of a problem,67262:12,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.85,don&quotechart require mechanics,do,diesels,"diesels don&quotechart require mechanics,",57573:4,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.13,help  create that,help,lawyers,"well, lawyers help  create that.",27281:9,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.09,know that,know,technical people,and technical people know that.,9996:8,VP
2,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.73,are just as much of a blessing inside these material things,are,kids,but kids are just as much of a blessing inside these material things,47743:6,VP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.23,"come down  to supervise or, whatever",come,parents,"and, uh, you know, parents come down  to supervise or, whatever.",97451:23,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.21,"use fed ex, all the time",use,people,"and nowadays people use fed ex, all the time.",75236:9,NP
3,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the bolded portion.",0.18,are kind of a problem,are,winters,i mean winters are kind of a problem,67262:12,NP
