"workerid","trial_type","verb.phrase","entire.sentence","verb","noun.phrase","context","freq","tgrep.id"
0,"single_generic_trial","have very thick skin","rhinos have very thick skin and seem impervious to pain; they will crush anything that gets in their path with devastating speed.","have","rhinos","###a standard season ticket for the stadium, covering all blue division games, costs 171.###tickets are sold through the official website of the 21 world lacrosse championships a competition was organised, with voters being able to decide on which character the mascot will be.###the mascot was a choice of either a british bulldog or a rhino.###the english lacrosse association offered a season ticket to the championships for the winner worth$ 197 and allows entry to watch every game of the tournament including the final.###david shuttleworth, english lacrosse association ceo said, both these animals would make a great choice of mascot, both represent differing mental and physical attributes of a top lacrosse player.
",0.64,"62276:5:"
0,"single_generic_trial","are available at the community college of baltimore county, dundalk campus","in addition, college credits are available at the community college of baltimore county, dundalk campus.","are","college credits","members of the maryland transportation authority police are professional law-enforcement officers who must meet established standards and successfully complete a rigorous training program as required by the maryland police training commission.###officer candidates receive this training at the maryland transportation authority&quotechars police training academy, a fully accredited police-training facility located near the francis scott key memorial bridge.###officer candidates are expected to maintain physical and mental discipline throughout the academy.###the standard training course covers subjects such as criminal and motor-vehicle law, accident investigation, first aid, abnormal psychology, traffic control, criminal investigation, defensive tactics, weapons qualifications and court procedures.
",0.44,"41999:14:"
0,"single_generic_trial","have seven to eight grams of fat and one gram of saturated fat","kettle-cooked brands have seven to eight grams of fat and one gram of saturated fat, and are 14 calories.","have","kettle-cooked brands","###lay&quotechars forno, which has less fat by 6%, is available in two flavors: authentic cheese and black pepper.#### as with most snack foods, the lay&quotechars brands contain very few vitamins and minerals in any variety.###at ten percent of the daily requirement per serving, vitamin c is the highest.###salt content is particularly high, with a serving containing as much as 38 mg of sodium.###a one-ounce 28 gram  serving of lay&quotechars regular potato chips has 16 calories, and contains ten grams of fat, with one gram of saturated fat.
",0.41,"1886:6:"
0,"single_generic_trial","argue as to whether these are patrician ladies or courtesans","as with other similar pictures, historians argue as to whether these are patrician ladies or courtesans.","argue","historians","###neroccio di bartolomeo de&quotechar landi lady wears a v-necked, high-waisted gown with hanging sleeves over a floral silk gamurra with a square neckline.###her cap is of the same floral silk.###siena, c. 149.###two venetian ladies with blonde frizzy hair and caps.###the very high waist is typical of venice. Note the ""chopines"" or platform shoes to the left.
",0.72,"4135:19:"
0,"single_generic_trial","are men and women","it may occur between heterosexual or homosexual couples and victims are men and women.","are","victims","###survivors of intimate terrorism may engage in violence resistance as the result of the violence.###it is likely to be infrequent and be conducted by women.###the most common form of intimate partner violence is situational couple violence which is conducted by individuals of both genders, nearly equally.###when both partners of a couple engage in controlling and violent behavior it is called mutual violent control.### intimate partner violence occurs between two people in an intimate relationship.
",0.36,"42481:3:"
0,"single_generic_trial","do not generally fly test missions","three-star generals do not generally fly test missions, so bond&quotechars death attracted press interest.","do","three-star generals","###brown recovered, but entered a second irrecoverable spin too low to eject.###the plane hit the ground at a steep angle near the tonopah test range airfield boundary, killing the pilot instantly.###on 21 october 1982, usaf captain mark postai crashed with a mig3.###on 26 april 1984, usaf lieutenant general robert m. bobby bond, then vice commander of air force systems command, died attempting to eject after losing control of his mig3 while supersonic.###a few hours after the crash, headquarters, air force systems command, at andrews air force base, maryland issued a brief statement:""lt. gen. robert m. bond, vice commander, air force systems command, was killed today in an accident while flying in an air force specially modified test aircraft.
",0.73,"64582:7:"
0,"single_generic_trial","are mutually intelligible, but more distant ones may not be","neighboring dialects are mutually intelligible, but more distant ones may not be.   rwanda-rundi ruanda-rundi  is a group of bantu languages, specifically a dialect continuum, spoken in central africa.
","are","neighboring dialects","neighboring dialects are mutually intelligible, but more distant ones may not be.   rwanda-rundi ruanda-rundi  is a group of bantu languages, specifically a dialect continuum, spoken in central africa.
",0.36,"67643:6:"
0,"single_generic_trial","compete in the florida association of christian colleges and school fine arts festivals","music students compete in the florida association of christian colleges and school fine arts festivals and the nfcs band participates in the florida bandmasters association assessments.","compete","music students","###dr. randy ray became pastor at that time.###in 25, the church was renamed north florida baptist church.###north florida christian school students enjoy a wide range of fine arts opportunities including instruction in instrumental and vocal music, pep band, jazz band, drama and musicals, praise and worship performance music, the visual arts, and theatre.###students can participate in local, regional, and state events.###ministry opportunities include performing in chapel programs and other ministry events.
",0.67,"3776:7:"
0,"single_generic_trial","show loosening of associations, that is, a disconnection and disorganization of the semantic content of speech and writing","affected persons show loosening of associations, that is, a disconnection and disorganization of the semantic content of speech and writing.","show","affected persons","###it involves excessive and purposeless motor behavior, as well as extreme mental preoccupation that prevents an intact experience of reality.###an example is someone walking very fast in circles to the exclusion of anything else with a level of mental preoccupation meaning not focused on anything relevant to the situation  that was not typical of the person prior to the symptom onset.###in both types of catatonia there is generally no reaction to anything that happens outside of them.###it is important to distinguish catatonic agitation from severe bipolar mania, although someone could have both.### thought disorder describes an underlying disturbance to conscious thought and is classified largely by its effects on speech and writing.
",0.44,"1445:6:"
0,"single_generic_trial","do have a specific format","contrary to what has been presumed sign languages do have a specific format.","do","sign languages","###sign language is collective worldwide; instead it is similar to other languages having different signs in different cultures.###a resident from great britain does not necessarily understand asl because britain and america have two different sign languages even though both countries primarily speak english and the written language is quite parallel.###actually asl is more closely related to french sign; sharing the same origin, although today they are distinctive and different from one another.###yet another misunderstanding is that asl can be directly translated to the english language.###this however is false, when the grammar is compared asl and english are just as different as any two native languages.
",0.57,"71346:26:"
0,"single_generic_trial","compete in the associated schools junior tasj  competition and st peter&quotechars secondary girls compete in the queensland girls&quotechar secondary schools sports association qgsssa ","st peter&quotechars primary boys compete in the associated schools junior tasj  competition and st peter&quotechars secondary girls compete in the queensland girls&quotechar secondary schools sports association qgsssa .","compete","st peter&quotechars primary boys","###vijay saves the movie from being unbearable.###the film opened alongside several prominent films such as the vikram starrer"" dhool"" and the kamal haasan-madhavan starrer"" anbe sivam"".### the associated independent colleges of queensland aic  are a group of eight independent schools in queensland, australia involved in a variety of sporting and cultural activities.###aic competition is only for male secondary students.###primary schools attached to aic schools compete against their gps counterparts in the combined independent colleges cic  competition.
",0.35,"3679:13:"
0,"single_generic_trial","are similar to adult females, but lighter","juveniles are similar to adult females, but lighter and with a more streaky breast.","are","juveniles","###it became extinct before scientists could properly survey the new zealand avifauna, but possibly as late as 187 based on a report of a flightless goose caught in opotiki. ### this 4551 cm duck looks like a small goose, and feeds mostly by grazing in flocks.###the male is grey with a dark brown head and mottled breast.###the female has white stripes above and below the eye and mottled underparts.###both sexes have grey wings with black primaries and a white speculum.
",0.62,"12173:4:"
