"workerid","language","enjoyment","gender","age","comments","asses","education"
0,"english",2,"Male",23,"it was fun","Yes",2
1,"English",1,"Male",26,"nice","Yes",3
2,"English",0,"Male",30,"I found the typos/grammatical errors/errors in many of the texts annoying and difficult to know exactly what was being said. This also made some of the questions hard to answer.","Yes",2
3,"englich",1,"Male",30,"","No",3
4,"English",1,"Male",32,"","Yes",3
5,"english",1,"Male",28,"","Yes",3
6,"English",2,"Male",31,"This was very interesting. Really made me think.","Yes",3
7,"english",2,"Male",21,"","Yes",1
8,"english",1,"Male",51,"","Yes",4
9,"English",2,"Male",25,"","Confused",0
10,"English",2,"Female",24,"great survey","Yes",3
11,"Englsih",2,"Male",26,"good","Yes",3
12,"English",1,"Male",25,"no","No",2
13,"English",2,"Female",27,"","Yes",2
14,"English",2,"Male",53,"Nicely done thank you","Yes",2
15,"english",2,"Female",33,"","Yes",3
16,"English",0,"Female",53,"","Confused",4
17,"English",2,"Male",45,"","Yes",4
18,"english",1,"Male",35,NA,"Yes",4
19,"english",1,"Male",35,NA,"Yes",3
