Item_ID	Noun	NP	Verb	VP	BarePlural	Sentence	Context
27281:9	lawyers	lawyers	help	help  create that	lawyers	well, lawyers help  create that.	###speakerb148.###speakera149.### i mean, i, i mean teachers are so afraid  now of  even saying something, to students because they're going get, they're going  to get complaints or they're going  to get sued  or something.###speakerb15.###uh-huh.###speakera151.###speakerb152.###it's like doctors in lawsuits,###speakera153.###oh yeah.###speakerb154.###you know, they're kind of fearful of, everything.###speakera155.###speakerb156.###speakera157.
67262:12	winters	winters	are	are kind of a problem	winters	i mean winters are kind of a problem	###in fact a lot of people will ride outside in the snow.###they've got a, uh, mountain bike, you know, with the big knobby tires.###speakera14.###speakerb15.###speakera16.###yeah.###speakerb17.###and, i don't do that.### i basically, i, i pretty much lay off for the winter.###uh, i was thinking of  getting rollers for the last winter, you know, because it will help your balance when you're indoor training .###speakera18.###um.###speakerb19.###uh, but i just, you know, more or less stocked, like an exercise bike and that kind of thing., uh,###but, yeah,
149639:9	rabbits	rabbits	are	are darling	rabbits	well, rabbits are darling.	###speakera65.###oh, my word.###speakerb66.###uh,.###speakera67.###and do they, they just paper train it or something?###speakerb68.###i guess.###speakera69.###speakerb7.###i guess,###yeah,###and i would imagine that they don't have many more than one   to start with , either.###speakera71.###yeah.
36123:4	parents	parents	are	aren't parents any more	parents	parents aren't parents any more.	###i know.###speakerb12.###for what.###speakera121.###i know.###speakerb122.### give me the money###and i'll, i'll teach them something good.###speakera123.###well, you know, you know  why they do it  is so they can get them out of the house.###speakerb124.###yeah.###speakera125.###yeah,###uh, that's my other complaint.
158267:12	people	people	say	say that	people	i mean people say that,	###speakera17.###so.###speakerb18.###uh, th-, the other argument is that the death penalty is a deterrent###and i really don't, uh, agree with that.###i don't think  anyone who  would commit a, uh, a crime that  would get them the death penalty would stop at the moment and say, well, i was about  to kill and dismember this person###but, oh, if they catch me they're going  to kill me###so i better not do it.### i, i just, don't think that, uh, that it works that way.###speakera19.###yeah.###speakerb2.###speakera21.###i don't think  it's done .###i don't think  we run it as a deterrent.
16679:8	books	phone books	are	are a large volume of annual trash	books	and phone books are a large volume of annual trash.	###yeah.###speakerb16.###speakera17.### th-, there definitely has  to be a motivation factor###and i know that, at w-, where i work ,###i work for a defense contractor.###and there's a big push on for  recycling, uh, paper materials, you know, computer output paper and also  to decrease the amount of, uh, styrofoam usage because of the, uh, the process involved in styrofoam and, and the whole eco issue and that.### and, and they're very proactive###and, uh, matter of fact, they give you discounts if you use, uh, china wear rather than, uh, styrofoam stuff,### so. so, i-, i-, it's incentives like that that  get people people more conscious of it.###i think  that's, that's what they need  to do .  be more proactive like that.###speakerb18.###uh, i know, uh, i believe  it was last year that they actually collected the old phone books .### uh, usually have them come from mumblex you know, projects  to collect old ones.### usually just get dumped  out with the trash.
137655:11	fans	football fans	are	are probably the most fickle people in the world	fans	uh, football fans are probably the most fickle people in the world.	###and so pretty fast turnaround.###but this year they made it to playoffs###and today was  the first game###and they beat the chicago bears###so everybody's really going crazy, you know, down here.###speakerb22.###i'll bet  they are .###speakera23.###they're going crazy,### so, so they turned it around,###but, you know, they have a lot of young exciting players now, uh,###i mean, everybody was real upset, you know, when they fired tom landry ,###but, you know, now it's like, you know, they're doing good###so everybody's forgotten about that.###speakerb24.
175:4	people	people	do	don't tend  to knock	people	people don't tend  to knock,	###certainly the language  i know  doesn't, but just says a word for loneliness.###speakerb74.###oh, that's interesting.###speakera75.###loneliness  is the closest  you can come , which  is really quite different.###speakerb76.### but, but no concept for  wanting  to be private.###speakera77.###yeah.### it's, it's generally   being alone is not a very desirable state, at least officially.###speakerb78.###okay.###speakera79.###um, so there's not,###i mean, doors don't have latches on them.
11134:8	people	people	are	are really concerned	people	but, people are really concerned,	###and i started  doing that at work.###um, i put out a, a trash can and, and  for people to put their aluminum cans in ,###speakera27.###uh-huh.###speakerb28.###and that's really helped a lot,###i mean, everybody's pitched in###and, you know, it exp doesn't bother them  to walk little bit farther put their aluminum in a can rather than  just throwing it in their trash can.###speakera29.###yeah.###speakerb3.###speakera31.###yeah.###speakerb32.###so, i really, i really like that,
113118:8	rates	interest rates	are	aren't none too shallow these days anyway	rates	and interest rates aren't none too shallow these days anyway.	###speakerb17.###speakera18.###d-,###yeah,### i, i made a rule  with myself when i got one  that if i couldn't pay it in full every month that i'd have  to rip it up,###so.###speakerb19.###yeah.###speakera2.###speakerb21.###that's a good idea.### stops all them interest rates,###speakera22.###that's,###speakerb23.
9738:9	husbands	husbands	are	are crippled	husbands	that way husbands are crippled,	###that's a part of the problem that women have always had ###and that is  accepting responsibility for things that  really are other people's responsibilities.###speakera171.###that's very true.###speakerb172.### they, they,###speakera173.###and then that way, we have not changed in, hundreds of years, have we .###speakerb174.###speakera175.###speakerb176.###that's right.###speakera177.###yeah.###speakerb178.
166244:11	people	people	want	want all of that	people	but, uh people want all of that	###speakerb58.###uh-huh.###speakera59.###speakerb6.###okay.###speakera61.###so.###i mean i have met people that, uh, both that, that  just want  to maintain a, the standard of living and those that, that  really need the job.###speakerb62.###okay.###and then, sometimes i, i often, uh, find that maybe there's so many different things available to us. yo-, a microwave, a v c r, a answering machine a, you know, a special, a dishwasher, uh, a refrigerator and some of those items, um, for the, for the, uh,###speakera63.###uh-huh.###speakerb64.###well i guess  we're sticking more to social changes
