Item_ID	Noun	NP	Verb	VP	BarePlural	Sentence	Context
276:7	people	people	are	are, of course, populations getting older	people	just people are, of course, populations getting older.	###is it,###how close is it  to a home environment.###speakerb114.###yes.###that's right.###speakera115.### that's the, that's probably the major question.###speakerb116.###i think that great strides ich are being made  nowadays in, in  caring for the elderly, you know, in several, in a, in a whole lot of areas.###speakera117.###yeah.###speakerb118.###speakera119.###yeah.###speakerb12.
733:34	people	people	call	call in	people	and, and, and people call in	###is, uh,###do you know who he is ?###speakerb42.###yeah.###somebody in south carolina told me about him.###speakera43.###he's a, the movie critic.###um, oh, you've, oh,###okay.###he's a movie critic on channel eight in dallas.###speakerb44.###yeah.###speakera45.###and he does, uh, he has a talk show on the, k l i f.###anyway, it's on from seven to nine, or something.
157:6	things	things	are	are quite different ich there in terms of that	things	and things are quite different ich there in terms of that.	###so, maybe that is a, a little bit of what privacy is .###speakera69.###yes.###exactly.###speakerb7.###speakera71.###uh-huh.###i also thought about it, was of, uh,  waiting  to talk to you that, another thing that  occurred to me is  there is not so much invasion of my privacy because i know how  to behave  such that there isn't .###but i realized  i have  to behave in a certain way in order  to not have people invade my privacy.###if i deviate from social norms of behavior, if i run up and down the street  yelling or something, someone's going  to invade my privacy very quickly.###speakerb72.###uh-huh.###speakera73.###and i realize that that, i mean, i can take that for granted###but i used  to, i used  to live in india
174:14	doors	doors	do	don't have latches on them	doors	i mean, doors don't have latches on them.	###in fact, it exp's said  that no indian language has a word for privacy,###certainly the language  i know  doesn't, but just says a word for loneliness.###speakerb74.###oh, that's interesting.###speakera75.###loneliness ich is the closest  you can come , which  is really quite different.###speakerb76.### but, but no concept for  wanting  to be private.###speakera77.###yeah.### it's, it's generally   being alone is not a very desirable state, at least officially.###speakerb78.###okay.###speakera79.###um, so there's not,
175:4	people	people	do	don't tend  to knock	people	people don't tend  to knock,	###certainly the language  i know  doesn't, but just says a word for loneliness.###speakerb74.###oh, that's interesting.###speakera75.###loneliness ich is the closest  you can come , which  is really quite different.###speakerb76.### but, but no concept for  wanting  to be private.###speakera77.###yeah.### it's, it's generally   being alone is not a very desirable state, at least officially.###speakerb78.###okay.###speakera79.###um, so there's not,###i mean, doors don't have latches on them.
196:9	people	people	start	start  paying attention to you very much	people	um, people start  paying attention to you very much	###oh.### that, that would be, that would be culturally shocking.###speakera81.###speakerb82.###speakera83.###you know, it very much is .###but on the other hand, i realized  i could go out on the street and act like a complete lunatic,###speakerb84.###uh-huh.###speakera85.###and people would leave, me alone.###speakerb86.###uh-huh.###speakera87.###whereas in this country where everyone respects the closed doors very much , if you go out and then act like the lunatic you, you violate the, uh, the norms of social, of, um, public behavior.
1112:45	people	people	have	have sex 	people	well, i mean, i, i wonder how people have sex , and things like that,	###and they start  asking questions and in the sense are invite-, invade, invading your privacy although, if you know what the social norms are , you know, quote unquote, you asked for it.###but it does mean that you have yet another reason   to follow a set of social norms .###speakerb88.###yes.###speakera89.### and which  isn't of, always the case in all cultures,###and it wasn't until i was thinking about it just now that i realized  that's actually something that 's culturally relative.###speakerb9.### tha-, that is true.###i haven't thought about that### and, and that it exp's fascinating  to, to think a lot of someone who  doesn't know how  to say private .###speakera91.###uh-huh,###uh-huh.###and that's really, um,
1131:42	people	people	do	do that 	people	and i wonder, i really do wonder how people do that .	###you go to india###and it's obvious, you know, the results of sex are quite obvious,, as the population goes up an extra hundred million every few years.###um, but i, i just don't quite, um,###there's hope,###i actually###for al-, of the time  i've spent  there, i still don't quite understand how certain things that i assume   and require privacy and require not just that you be alone but actually that you have a sense of privacy .###speakerb94.###yes.###speakera95.###because anyone can be alone for some period of time###but for me a lot of what i do  requires a sense that there's this invisible barrier around me which people wil-, will respect .###speakerb96.###yes.###speakera97.###and if that's gone, um, i, i really don't know how  to live  very well,
1415:7	women	women	are	are in every field now	women	because women are in every field now,	###and you stay there.###and i feel like the next generation, you'll probably just work right along with your husband, you know.###speakerb25.###yeah,###uh-huh,###i think  it's definitely gotten better.###speakera26.###oh, i do to,###much.###and it's just going  to get better.###speakerb27.###uh-huh.###speakera28.###it really is .###speakerb29.
1421:92	women	women	have	have gotten into the doctor field	women	and i know  at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field.	###speakera26.###oh, i do to,###much.###and it's just going  to get better.###speakerb27.###uh-huh.###speakera28.###it really is .###speakerb29.###because women are in every field now,###i mean i can't think of a field that they're not involved in .###speakera3.###oh, i can't either,###not a one.###speakerb31.
1585:22	women	women	get	get up in management	women	i do too, especially as women get up in management and, and can be in on those decision making,	###oh, no,###i think,###yeah.###my son's just in day-care###but even that they have extracurricular activities###and  the older  they get  the more that you're involved in that.###speakera88.###uh-huh.###i think  it's great,###i really,###speakerb89.###yeah,###speakera9.###and i look for more of that in the next generation.###speakerb91.
164:14	men	men	get	get paid  more	men	i think  men get paid  more,	###but i know,###speakera14.###yeah,###but i can rem-, remember  back  growing up, my mother,###i mean it was###she always worked,###but it exp wasn't that easy for her to just take off.###speakerb15.###oh no,###i can remember my mother getting in trouble if, you know, one of was sick,###and i know  she probably didn't make hardly anything, you know, compared to the work that she did .###speakera16.###oh yeah.###speakerb17.###i think  there is still some discrimination there where as, you know, men and women work in the same job ,
2613:4	women	women	are	are not allowed  to wear slacks	women	women are not allowed  to wear slacks,	###well i think  t i's dress code is pretty lax  considering everything, anyway, you know, uh.###speakerb48.### i know, i didn't know that e d s has a very strict dress code,###i had a friend,###speakera49.###oh do they really?###speakerb5.###oh definitely.###i had a friend who  worked there for a year or so###and they spell it out.###for men it's particular suits, uh, the pin stripe, and the particular colors of shirts and win-, wing tipped shoes.###speakera51.###oh, my god.###speakerb52.###oh, it is definitely lined  out.
272:11	ones	other ones	tend	tend  to always wear a suit with a very starched cotton shirt	ones	and then other ones tend  to always wear a suit with a very starched cotton shirt.	###because, there's one that  always wears a suit.###a matter of fact, he's never seen  without his jacket to the suit on, buttoned .###speakera81.###really, wow.###speakerb82.###and then there's another one who 's, who 's a little younger and a little more yuppish###and he's always kind of like in the khaki pants and, you know, a shirt,###speakera83.###uh-huh.###speakerb84.###and sometimes he wears the jacket to it.###speakera85.###yeah.###speakerb86.###and some of the patent attorneys have been real casual in their clothes
3692:182	things	things	are	are going  in our family	things	we have, we try  to spend like monday nights, we call it family home evening, and, have our kids, uh, you know, have little lessons with them, and, you know, just see, count, see how things are going  in our family and, you know, teach them about their grandparents or something like that. bring out pictures of them so they get  to know them	###it makes it a little bit easier, i think, that way.###speakerb12.###yeah,###it does,### an, an then, uh, you know, my husband enjoys  spending time with the kids, you know,### he'll, he'll take them out just  to be with them.###speakera13.###yeah.###speakerb14.###so he, they can have time with him an.###speakera15.###so you have a break too.###speakerb16.###right,### so and we, uh, we try  to teach our kids as much as we can  at home, you know,
3832:6	parents	parents	get	get in  free	parents	and parents get in  free	###or they think  it exp's wonderful just  to go to mcdonald's, you know,###they don't go for the food###they go for the,  to play around###and, there's another place in mesquite called  monkey business,###speakera59.###that's right.###speakerb6.###speakera61.###uh-huh.###speakerb62.###and it's a indoor fun park###and it has a bunch of different rides for kids.###speakera63.###that's sounds fun too.###speakerb64.
4492:112	people	people	are	are motivated  that way so that they've incorporated that into their program	people	now do you think  that's because they've realized that for whole health, that, the, you know, you have  to have that combination, or that people are motivated  that way so that they've incorporated that into their program.	###and, uh, oh the, the, the uni-, university of california at berkeley puts out the wellness letter. which  is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that###speakerb86.###uh-huh.###speakera87.### and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.### it, it's on fairly so-, solid scientific ground.###uh, it's just dispensed  with these distinctions.###it says  ever-, all sorts of factors go into health and  there's no reason   to talk about one rather than another , so that they, they combined them all together.### and, uh, so it's had that orientation for quite some time.###um, there's been some progressive medical schools exp out here, that  have taken that approach.###speakerb88.###uh-huh.###speakera89.###and, um,###speakerb9.
4811:9	people	people	make	make mistakes	people	hey, people make mistakes.	###speakera45.###um.###speakerb46.###so you serve your prison term,###and then you go into the mental hospital,###and if you're pronounced  cured, they'll let you go.###speakera47.###huh-uh.###speakerb48.###well, they may find a cure for it,###but there is no known cure now.###speakera49.###um. so you're, you're kind of thinking,###in other words, if you get, if you do something ich the first time, that 's not real bad, you know,###speakerb5.
4977:19	people	people	get	get fired 	people	now, you know, people get fired ,	###huh-uh.###speakera15.###if they see violence at home, that's what you're going  to get  from the kids at school.###speakerb16.###exactly.###speakera17.###you know. it really is ,###and that's kind of sad.###speakerb18.###well, you can see it in the work place, you know.### used  to be  when you had a personality conflict  you just, you worked with it###and you got through it.###speakera19.###huh-uh.###speakerb11.
618:35	people	people	think	think of computers	people	or as far as that goes, you know, people think of computers, they think of i b m a lot of times.	###right.###speakerb178.### he-, hey, that's kind of sad.###speakera179.###no,###but i mean, it's like, it's like they, they have just like different policy.###i don't know.###my dad works for them###but it's like i b m like never in their commercials, they never put down any other company, you know.###it's like they won't say,###speakerb18.###no.###speakera181.###speakerb182.###well, they're the standard right now.
652:52	people	people	are	are going, you know, feeling resentful	people	i'm not sure about  requiring it, you know, of people, because people are going, you know, feeling resentful.	###speakerb14.###which  is the same,### but, but then it's probably that way anywhere, you know,###that's,###speakera15.###oh, i'm sure  personalities always come into play.###speakerb16.###uh-huh.###speakera17.###uh, just in this size of organization,###speakera1.###okay.###the question was, um, what, what is your opinion of youth, uh, spending a year or two in, in public service .###speakerb2.###i think  it would be a great idea.
684:4	women	women	are	aren't nearly as frequent	women	women aren't nearly as frequent,	###yeah.###speakera125.###but, uh, unless there was a flood or a fire or something like that, red cross, it was so many of them in it, that at any particular chance, your chance of  having  to do something was, it was very slim.###speakerb126.###yeah.###yeah.###speakera127.###and so,###speakerb128.###well, we, um, belong to the church of jesus christ of latter day saints, which  is like mumblex the mormon church.###speakera129.###huh-uh.###huh-uh.###speakerb13.###and, um, there, there is men and also women,
6851:7	men	young men	do	do it for two years	men	young men do it for two years and the young women for eighteen months.	###huh-uh.###huh-uh.###speakerb13.###and, um, there, there is men and also women,###women aren't nearly as frequent,###and also that  have elderly couples ich once their kids have left, that  can volunteer  to go on a mission###and, um, they're all over the world.###and, it's incredible logistics,###i mean, they have a training center where they teach them ,###it's called  the missionary training center in utah,###and they have,  to be taught  the language and customs and all those kinds of things,###speakera131.###yeah.###speakerb132.###and then they, um, you know, go and actually live in that country for the, the, uh,
7517:49	things	things	are	are a little bit different 	things	but, uh, uh, down in d c where, where things are a little bit different , uh, you know, it's, it's women's rights and the, and that sort of movement,	###i think  in, uh, the texas governor elections, i think more people turned out  to vote against somebody than for somebody, this time.###speakerb23.###yeah,###well, that, uh,###mumblex i know that there's certain issues that  can really motivate people because we live in a pr-, pr-, predominately catholic type area,###speakera24.###oh, really?###speakerb25.###and when things start, uh,### when, when abortion comes on the issues  and people just get all insp-, inspired, you know,###speakera26.###right.###speakerb27.###and, uh, still on the other hand we're also, uh,###this particular community is a catholic community
825:18	heroes	heroes	have	have always been cowboys	heroes	we saw, um, heroes have always been cowboys, tonight.	###speakerb2.###of course, you have  to get there early if you want  to get anything, decent.###speakera21.###i know.###speakerb22.###speakera23.###it's good when you go to tom thumb  though###and they're cheap###and nobody has got them yet.###speakerb24.###that's true.###speakera25.###unbelievable.###speakerb26.###that's true.
9128:4	people	people	say	say that it is somewhat better	people	people say that it is somewhat better.	###wow.###speakerb12.###it just looked liked peanut butter.###speakera13.###my word.###speakerb14.###thick and brown and so on.###speakera15.###and that was, a few years ago?###speakerb16.###this was quite a few years ago.###this was in the nineteen sixties.###speakera17.### i, i wonder if it's any better now. because they, uh, california has such strict rules, um, about emissions and so on.###speakerb18.
9218:81	companies	companies	do	don't	companies	and probably the only way  that can happen  is for, um, governments to realize that they have  to pay if companies don't.	###um, so i suspect that that's one thing that, that as individuals, we can do ,  make our voices known, perhaps to our legislators.###but, um, as a society, i think  we can do more ###and that's probably how we ought  to do it . uh, individ-,  being individually responsible as, uh, gro-, in order  to be group responsible.###speakerb44.###yeah,###i guess  i'm, i'm to the point where i'm cynical enough that i really don't believe  anything will happen unless, unless there's something economically justifiable about it .###speakera45.###right.###speakerb46.###and in the case of air pollution, it simply might turn out at some point down the road,  to be so costly ich ich  to have  to live with air pollution in terms of health problems, and everything else that we'll spend the money that 's necessary  to, uh, to get rid  of the source of it.###speakera47.###uh-huh.###speakerb48.###speakera49.###i suspect that the pub-, that there's going  to have  to be a lot of pressure, uh, come  to bear on the companies that  deal with it
9249:39	people	people	are	are too dependent	people	and yet the government is not going  to do that because people are too dependent	###speakerb56.###how about  investing in the sun.###well nobody wants  to pay twenty-five cents a kilowatt hour, i don't think  .###speakera57.###right.###speakerb58.###uh, i probably wouldn't mind if it really came down to it.###speakera59.###well it's just the same thing with the car, uh, uh, the gasoline,###now is a wonderful time   to smack a fifty cent a gallon tax on gasoline , so that we don't, uh, run into the kind of problems  we recently had ###speakerb6.###oh yes,###yes,###yes.###speakera61.
9833:36	parents	parents	think	think that their small children learn violence from tv	parents	uh, i think  it exp's interesting that parents think that their small children learn violence from tv,	###speakerb11.###yeah.###speakera111.###and the shows that i like  now, they wouldn't let me watch .###i had  to catch them all on repeats.###like star trek,###they thought  that was much too violent for small children.###so,###speakerb112.###huh.###speakera113.### i, i, i ended up  watching a lot of these things on, you know, repeats in the afternoons or something.###speakerb114.###yeah.### that's, that's interesting.
